output_path,pid,raw_identity,object_id,partition,modality,class_name,source_image,source_label,line_no,coords,crop_box
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s1c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_4000_3500_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_4000_3500_sar.txt,1,164.6196 861.0308 423.9165 1037.7681 394.6655 1080.6831 135.3687 903.9458,127 853 432 1024
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s2c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_4000_4000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_4000_4000_sar.txt,1,164.6196 361.0308 423.9165 537.7681 394.6655 580.6831 135.3687 403.9458,127 353 432 589
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s3c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_5000_4000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_5000_4000_sar.txt,1,380.6289 941.7896 99.3662 1024.5933 86.7759 981.8271 368.0386 899.0234,78 891 389 1024
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s4c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_6000_5500_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_6000_5500_sar.txt,1,482.2144 388.8862 660.9365 186.2007 690.2539 212.0518 511.5317 414.7373,474 178 699 423
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s5c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_6500_5000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_6500_5000_sar.txt,2,-17.7856 888.8862 160.9365 686.2007 190.2539 712.0518 11.5317 914.7373,0 678 199 923
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s6c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_6500_5500_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_6500_5500_sar.txt,1,1042.1011 1009.5063 706.2280 833.7041 731.8086 784.8315 1067.6816 960.6343,698 776 1024 1018
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s7c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_6500_5500_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_6500_5500_sar.txt,3,-17.7856 388.8862 160.9365 186.2007 190.2539 212.0518 11.5317 414.7373,0 178 199 423
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s8c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_6500_6000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_6500_6000_sar.txt,1,1042.1011 509.5063 706.2280 333.7041 731.8086 284.8315 1067.6816 460.6343,698 276 1024 518
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s9c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_9000_10000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_9000_10000_sar.txt,1,1136.7246 120.8926 706.0908 150.5850 701.1240 78.5449 1131.7578 48.8525,693 40 1024 159
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s10c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_9000_7000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_9000_7000_sar.txt,2,122.3652 1004.5547 372.2344 843.4863 395.9443 880.2681 146.0752 1041.3364,114 835 404 1024
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s11c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_9000_7000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_9000_7000_sar.txt,4,232.3154 617.3853 70.8281 704.7686 50.9375 668.0103 212.4248 580.6270,42 572 241 713
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s12c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_9000_7000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_9000_7000_sar.txt,6,294.6270 301.4819 133.7588 399.0820 108.2598 357.0542 269.1279 259.4541,100 251 303 408
/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/Cleaned_SDFNet_Data/MOS-Ship-ReID/bounding_box_test/1015_s13c1_sar.png,1015,1,1,gallery,sar,ship,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar/10_1024_9000_7000_sar.png,/ssd_data/lixiang_data/Datasets/Opt-SAR-ReID/MOS-Ship/MOS-Ship/val/sar_labelTxt/10_1024_9000_7000_sar.txt,7,373.4121 249.1421 446.7471 342.5176 420.1445 363.4106 346.8096 270.0352,338 241 455 372
